GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Parking Lot Management System,com.parkinglot,ParkingLotApplication,5,3,0,0,2,1,1,1,1,1
Parking Lot Management System,com.parkinglot.model,User,6,15,0,0,2,6,2,2,2,2
Parking Lot Management System,com.parkinglot.model,Ticket,0,21,0,0,0,8,0,4,0,4
Parking Lot Management System,com.parkinglot.model,Vehicle,25,0,0,0,10,0,5,0,5,0
Parking Lot Management System,com.parkinglot.impl,ParkingRateImpl,8,71,1,5,2,13,1,6,0,4
Parking Lot Management System,com.parkinglot.impl,ParkingLotImpl,0,40,1,3,0,8,1,4,0,3
Parking Lot Management System,com.parkinglot.impl,ParkingSpaceImpl,0,66,0,4,0,10,0,5,0,3
Parking Lot Management System,com.parkinglot.controller,ParkingRateController,0,42,0,2,0,8,0,4,0,3
Parking Lot Management System,com.parkinglot.controller,UserController,10,16,0,0,2,3,1,2,1,2
Parking Lot Management System,com.parkinglot.controller,ParkingSpaceController,0,53,0,2,0,8,0,4,0,3
Parking Lot Management System,com.parkinglot.controller,VehicleController,10,16,0,0,2,3,1,2,1,2
Parking Lot Management System,com.parkinglot.controller,TicketController,1,96,1,5,1,20,1,6,0,4
Parking Lot Management System,com.parkinglot.controller,GlobalExceptionHandler,0,9,0,0,0,2,0,2,0,2
Parking Lot Management System,com.parkinglot.enums.VehicleType,VehicleType,0,21,0,0,0,2,0,1,0,1
Parking Lot Management System,com.parkinglot.enums.VehicleType,UserType,0,15,0,0,0,2,0,1,0,1
